Attribute Type,Type Description,Archtechture flag,visible,Important,required,Allow Multiple,code,Code label,Code Description
7.1.120 Communicate Information on the Secret Internet Protocol Router Network (SIPRnet),,,,,,,,,
7.1.121 Communicate Information on the Non-Classified Internet Protocol Router Network (NIPRnet),,,,,,,,,
7.1.122 Communicate Information on the Joint Worldwide Intelligence Communications System (JWICS) Network,,,,,,,,,
7.1.123 Communicate Information on the Coalition Mission Network,,,,,,,,,
8.2.22 Access Information at Multiple Levels of Security,,,,,,,,,
8.2.27 Manage Multiple Security Levels,,,,,,,,,
8.2.52 Manage Security Configuration,,,,,,,,,
14.1.5 Collect and Process Video Sensor Data,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
14.1.5 Collect and Process Video Sensor Data,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
7.2.9 Transmit Tasking and Target Data,,,,,,,,,
14.1.31 Maintain Target Model Library,,,,,,,,,
14.1.32 Retrieve Target Model,,,,,,,,,
14.1.33 Distribute Target Model,,,,,,,,,
2.1.39  Acquire and Track Target,,,,,,,,,
3.4.1  Display Automatic Target Recognition (ATR),,,,,,,,,
 ,,,,,,,,,
14.1.34 Publish Target Model,,,,,,,,,
4.7.2  Manage Target List,,,,,,,,,
14.1.23 Perform Imagery Coordinate Mensuration,,,,,,,,,
7.2.8 Transmit Tasking and Target Data to Battle Damage Assessment (BDA) Assets,,,,,,,,,
7.2.51 Transmit Battle Damage Assessment (BDA) Report,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
7.1.51 Broadcast Information,,,,,,,,,
7.1.95 Disseminate Sensor Products,,,,,,,,,
8.7.22 Disseminate Data,,,,,,,,,
14.1.11 Disseminate Intelligence Products,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
3.2.52 Display Map,,,,,,,,,
"3.4.3 Receive, Store and Maintain Geospatial Product Information",,,,,,,,,
8.4.10 Generate Displays,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
8.7.14  Delete Data,,,,,,,,,
8.7.19  Categorize Data,,,,,,,,,
8.7.25  Register Data,,,,,,,,,
8.7.28  Provide Database Utilities,,,,,,,,,
8.7.36  Post or Publish Data,,,,,,,,,
8.7.39  Aggregate Data,,,,,,,,,
8.7.71  Store Semantic Information on Data,,,,,,,,,
8.7.66  Post Metadata to a Discovery Catalog,,,,,,,,,
8.7.67  Post Metadata to a Federated Directory,,,,,,,,,
8.7.68  Post Metadata to Metadata Registries,,,,,,,,,
8.7.89  Provide Discovery Metadata for Situational Awareness,,,,,,,,,
,,,,,,,,,
3.2.52 Display Map,,,,,,,,,
"3.4.3 Receive, Store and Maintain Geospatial Product Information",,,,,,,,,
8.4.10 Generate Displays,,,,,,,,,
8.10.10 Provide Graphical User Interface (GUI) Services,,,,,,,,,
8.10.22 Manage Display of Symbology,,,,,,,,,
8.10.23 Display Tabular Sortable Information,,,,,,,,,
8.10.25 Display Video,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1.2.8 Search,,,,,,,,,
8.7.8  Query Data,,,,,,,,,
8.7.11  Formulate Discovery Search,,,,,,,,,
8.7.63  Search within Context,,,,,,,,,
8.7.65  Perform Text Searches,,,,,,,,,
8.7.95  Search Structured and Unstructured Data,,,,,,,,,
8.7.96 Review Information Search Results,,,,,,,,,
8.7.97  Report Query Results,,,,,,,,,
 ,,,,,,,,,
8.7.27  Retrieve Data,,,,,,,,,
8.7.91 Acquire Data,,,,,,,,,
8.7.121 Receive Queried Information,,,,,,,,,
7.1.7  Transfer Data,,,,,,,,,
8.7.24 Manage Information Delivery,,,,,,,,,
8.7.100 Provide Information Delivery Vehicle,,,,,,,,,
1.4.4 Control Search Parameters,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1.2.8 Search,,,,,,,,,
8.7.8  Query Data,,,,,,,,,
8.7.11  Formulate Discovery Search,,,,,,,,,
8.7.63  Search within Context,,,,,,,,,
8.7.65  Perform Text Searches,,,,,,,,,
8.7.95  Search Structured and Unstructured Data,,,,,,,,,
8.7.96 Review Information Search Results,,,,,,,,,
8.7.97  Report Query Results,,,,,,,,,
 ,,,,,,,,,
8.7.27  Retrieve Data,,,,,,,,,
8.7.91 Acquire Data,,,,,,,,,
8.7.121 Receive Queried Information,,,,,,,,,
7.1.7  Transfer Data,,,,,,,,,
8.7.24 Manage Information Delivery,,,,,,,,,
8.7.100 Provide Information Delivery Vehicle,,,,,,,,,
1.4.4 Control Search Parameters,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1.1.7  Register Electromagnetic Signals,,,,,,,,,
3.2.32 Mensurate Object Coordinates,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
8.7.27  Retrieve Data,,,,,,,,,
8.7.91 Acquire Data,,,,,,,,,
8.7.121 Receive Queried Information,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
8.7.27  Retrieve Data,,,,,,,,,
8.7.91 Acquire Data,,,,,,,,,
8.7.121 Receive Queried Information,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
8.7.27  Retrieve Data,,,,,,,,,
8.7.91 Acquire Data,,,,,,,,,
8.7.121 Receive Queried Information,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
8.7.27  Retrieve Data,,,,,,,,,
8.7.91 Acquire Data,,,,,,,,,
8.7.121 Receive Queried Information,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 ,,,,,,,,,
,,,,,,,,,
8.2.26 Configure Communications and Security Devices,,,,,,,,,
8.12.4 Allocate and Manage Collaboration Communications,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
8.2.26 Configure Communications and Security Devices,,,,,,,,,
8.12.4 Allocate and Manage Collaboration Communications,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
8.2.26 Configure Communications and Security Devices,,,,,,,,,
8.12.4 Allocate and Manage Collaboration Communications,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
8.2.26 Configure Communications and Security Devices,,,,,,,,,
8.12.4 Allocate and Manage Collaboration Communications,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
8.2.26 Configure Communications and Security Devices,,,,,,,,,
8.12.4 Allocate and Manage Collaboration Communications,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1.1.7  Register Electromagnetic Signals,,,,,,,,,
3.2.32 Mensurate Object Coordinates,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1.1.7  Register Electromagnetic Signals,,,,,,,,,
3.2.32 Mensurate Object Coordinates,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1.1.7  Register Electromagnetic Signals,,,,,,,,,
3.2.32 Mensurate Object Coordinates,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1.1.7  Register Electromagnetic Signals,,,,,,,,,
3.2.32 Mensurate Object Coordinates,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1.1.7  Register Electromagnetic Signals,,,,,,,,,
