Attribute Type,Type Description,Archtechture flag,visible,Important,required,Allow Multiple,code,Code label,Code Description
4.3.3.2,,,Reclaim ,,,,,,
4.3.4,,Repair,,,,,,,
4.3.5,,Rebuild ,,,,,,,
4.3.5.1, ,,Modify ,,,,,,
4.3.5.2,,,Renovate ,,,,,,
4.3.6,,Calibration ,,,,,,,
4.4,Logistic Services,,,,,,,,
4.4.1,,Food Service,,,,,,,
4.4.1.1,,,Basecamp Feeding ,,,,,,
4.4.1.2,,,Forward Unit Feeding ,,,,,,
4.4.1.3,,,Remote Unit Feeding,,,,,,
4.4.1.4,,,Installation Feeding ,,,,,,
4.4.2,,Water and Ice Service,,,,,,,
4.4.2.1,,,Bulk Water (non-potable),,,,,,
4.4.2.2,,,Bulk Water (potable),,,,,,
4.4.2.3,,,Packaged Water (bottled/pouched) ,,,,,,
4.4.2.4,,,Ice Service ,,,,,,
4.4.2.5,,,Water Reuse ,,,,,,
4.4.3,,Basecamp Services,,,,,,,
4.4.3.1,,,Shelter ,,,,,,
4.4.3.2,,,Billeting ,,,,,,
4.4.3.3,,,Utility Operations ,,,,,,
4.4.4,,Hygiene Services ,,,,,,,
4.4.4.1,,,Personal Hygiene Services ,,,,,,
4.4.4.2,,,Textile Services ,,,,,,
4.5,Operational Contract Support,,,,,,,,
4.5.1,,Contract Support Integration,,,,,,,
4.5.2,,Contractor Management,,,,,,,
4.6,Engineering ,,,,,,,,
4.6.1,,General Engineering ,,,,,,,
4.6.1.1,,,Gap Crossing ,,,,,,
4.6.1.2,,,Develop and Maintain Facilities ,,,,,,
4.6.1.3,,,Establish Lines of Communications ,,,,,,
4.6.1.4,,,Global Access Engineering ,,,,,,
4.6.1.5,,,Repair and Restore Infrastructure ,,,,,,
4.6.1.6,,,Harden Key Infrastructure and Facilities ,,,,,,
4.6.1.7,,,Master Facility Design ,,,,,,
4.6.2,,Combat Engineering,,,,,,,
4.6.2.1,,,Defeat Explosive Hazards,,,,,,
4.6.2.2,,,Enhance Mobility ,,,,,,
4.6.2.3,,,Deny Enemy Freedom of Maneuver ,,,,,,
4.6.2.4,,,Enhance Survivability ,,,,,,
4.6.3,,Geospatial Engineering ,,,,,,,
4.6.3.1,,,Utilize Geospatial Data ,,,,,,
4.6.3.2,,,Provide Mobility Assessments ,,,,,,
4.7,Installations Support,,,,,,,,
4.7.1,,Real Property Life Cycle Management,,,,,,,
4.7.1.1,,,Provide Installation Assets,,,,,,
4.7.1.2,,,Facilities Support,,,,,,
4.7.1.3,,,Sustainment of Installation Assets,,,,,,
4.7.1.4,,,Recapitalization of Installation Assets,,,,,,
4.7.1.5,,,Disposal of Installation Assets ,,,,,,
4.7.1.6,,,Economic Adjustment Activities,,,,,,
4.7.2,,Installation Services,,,,,,,
4.7.2.1,,,Security Services,,,,,,
4.7.2.1.1,,,,Law Enforcement,,,,,
4.7.2.1.2,,,,Base Physical Security,,,,,
4.7.2.2,,,Emergency Services,,,,,,
4.7.2.3,,,Installation Safety,,,,,,
4.7.2.4,,,Base Support Vehicles and Equipment,,,,,,
4.7.2.5,,,Housing Services,,,,,,
4.7.2.6,,,Airfield Management,,,,,,
4.7.2.7,,,Port Services,,,,,,
4.7.2.8,,,Range Management,,,,,,
5,Command and Control,,,,,,,,
